id;requested_by;request_date;request_details;reply_date;replied_by;reply_details
1;silver;2021-05-05;International;2021-05-04;Visionary monitoring;Sausages
2;Customizable client-driven Hat;2021-05-04;SDD feed;2021-05-04;web-readiness programming;Representative SQL HTTP
3;maroon Kids Monitored;2021-05-04;Plastic;2021-05-04;overriding Strategist program;transform
4;panel;2021-05-05;Integration COM Rhode;2021-05-05;International Senior online;transmit hub compress
5;Rustic dedicated transmitter;2021-05-05;platforms firewall disintermediate;2021-05-04;tan neutral;open-source
6;Specialist North Rubber;2021-05-05;Corner Handmade Progressive;2021-05-05;intelligence Salad;Borders hub
7;Bedfordshire Regional online;2021-05-04;redundant;2021-05-05;array Personal Analyst;Keyboard metrics Metal
8;Central;2021-05-05;Chief Account HDD;2021-05-04;indigo;Customer transitional
9;Account Movies;2021-05-04;AI markets e-services;2021-05-05;application Tasty;JSON
10;invoice Kiribati;2021-05-05;Sleek index bluetooth;2021-05-04;Intranet functionalities Islands;unleash Serbia
