id;number;broker_id;customer_id;created_date;status;created_by;insured_names;additional_insured;benificiary_name;policy_type_id;effective_date;duration;number_of_days;additional_info;mainteneace_period;trial_period;submission_date;inception_date;dead_line_date;jhi_current_user;rejection_reason
1;Communications iterate;20545;46604;2021-05-04;New;Pants Metal;maximize;Leone program;content Representative;83341;2021-05-05;23356;9843;Cotton Outlying Granite;80695;7102;2021-05-04;2021-05-04;2021-05-05;Causeway purple Account;Ball
2;Azerbaijanian;55157;97374;2021-05-04;New;tangible;XSS Keyboard Account;invoice Berkshire;grow Mouse copying;42375;2021-05-05;70006;6776;Seamless discrete;93067;87008;2021-05-05;2021-05-04;2021-05-04;composite leverage Branding;Nepalese
3;integrate digital;55880;3550;2021-05-04;Rejected;Gorgeous Implementation firewall;Mobility Home hard;Frozen;Home Personal;51809;2021-05-05;95911;55123;Dynamic Product;97312;2912;2021-05-05;2021-05-04;2021-05-04;Sausages Congo PCI;digital Singapore Awesome
4;Architect;99301;34240;2021-05-05;InProgress;compressing Manager;Port;Mobility;Customer Books;51121;2021-05-05;78261;92460;Arizona alarm Account;47209;98343;2021-05-04;2021-05-05;2021-05-04;solutions Fantastic;Tasty whiteboard override
5;Ethiopia initiative;16107;54773;2021-05-04;Rejected;parallelism;Cameroon card FTP;Wooden Coordinator digital;cross-platform Loan;12309;2021-05-05;51063;9857;withdrawal;70268;87775;2021-05-05;2021-05-05;2021-05-04;back;deploy
6;Front-line;21844;27907;2021-05-04;InProgress;Kina Riel;services;Assurance Practical Key;synthesize visualize;46147;2021-05-05;5052;38063;International redundant XSS;93138;25337;2021-05-05;2021-05-05;2021-05-05;red;Operations
7;Borders;86195;17981;2021-05-05;InProgress;1080p 1080p Generic;Intelligent world-class Account;Garden;Groves Data Kids;98875;2021-05-05;81033;36457;encryption superstructure Associate;41302;45090;2021-05-05;2021-05-04;2021-05-05;black;matrix Market
8;invoice;38421;1573;2021-05-04;InProgress;Lithuanian;interface overriding synergistic;redundant;experiences Cotton user-facing;77397;2021-05-04;90411;61161;lime;62415;91944;2021-05-04;2021-05-05;2021-05-04;productivity;Human turquoise
9;synthesize improvement Corporate;71083;70208;2021-05-05;InProgress;Arab modular plum;Korea Corporate Checking;virtual Investment;index Paradigm;6111;2021-05-04;20168;90625;open-source Fiji;27730;74581;2021-05-05;2021-05-04;2021-05-04;eco-centric;redundant Uruguay
10;expedite;2540;8830;2021-05-05;InProgress;haptic;navigate;Squares;Fish;26116;2021-05-04;22650;53487;Louisiana Associate;22585;14949;2021-05-04;2021-05-04;2021-05-04;Walks;feed Dong web
