id;number;broker_id;customer_id;created_date;status;version;created_by;insured_names;additional_insured;benificiary_name;policy_type_id;effective_date;duration;number_of_days;additional_info;mainteneace_period;trial_period;under_writer_name;expiry_date;total_sum_insured;total_mpl;rfq_id;average_rate;site_survey_needed;has_extension;rate_of_exchange_usd;rate_of_exchange_eu;line_settings_percentage;nat_cat_percentage;axa_share
1;Account;85514;30269;2021-05-04;Rejected;93659;Forges;SMS;Market Uzbekistan;Grocery matrix;60150;2021-05-05;47298;24561;contextually-based Mission Usability;86841;69613;Books;2021-05-05;713;42586;84001;41530;true;false;91087;84684;88889;91073;35929
2;JBOD vortals;46107;14460;2021-05-05;InProgress;1043;navigate Home;navigating Corner Vermont;Avon web;parse strategize deposit;17528;2021-05-04;97528;31289;COM client-server Utah;44375;49904;up niches;2021-05-04;26264;71733;25192;46190;false;false;26765;46219;39015;51688;74648
3;methodology;23208;65878;2021-05-05;Rejected;59111;customized Practical;Pants HDD;Extended bluetooth Cross-group;Benin Table Cuba;31688;2021-05-04;69609;95444;Regional;54043;27848;gold Pike;2021-05-05;88964;82658;16247;10018;true;true;82500;1875;64260;10513;71991
4;Interface multi-byte Branding;28354;14704;2021-05-05;InProgress;38621;Cotton Incredible cross-media;Coordinator;Refined;Sports SMTP;50098;2021-05-04;22498;69497;Buckinghamshire ivory;27737;8407;Lari Pizza Graphic;2021-05-04;637;43789;67627;31456;true;true;38138;87000;21960;6394;66782
5;Wooden sexy application;89205;71240;2021-05-04;InProgress;27913;Data plug-and-play redundant;Pizza Handcrafted;Mobility compelling;Cheese;24062;2021-05-05;78223;52063;portals and;61002;77728;Tasty Real;2021-05-05;61171;22399;28120;56539;false;false;98715;31875;32076;98454;19582
6;Response;52546;36807;2021-05-04;InProgress;94208;hacking pixel plum;Ball;back-end;Legacy Small;2322;2021-05-05;75728;9789;Virtual Borders Legacy;61547;47140;next-generation;2021-05-05;76814;26892;67271;80260;false;false;40623;50434;89757;74106;53825
7;model Shoes back;69346;41847;2021-05-05;InProgress;78683;Chicken Small;Investment Regional;Southern;models;89502;2021-05-04;26700;30981;drive Digitized;80920;82282;cutting-edge;2021-05-05;19914;76689;79228;20420;false;false;46603;1706;25896;96885;53042
8;Quality HTTP Rubber;21490;38424;2021-05-05;New;41011;24/7 Central parsing;Ranch models;panel Tools;Berkshire Rubber Falls;56233;2021-05-04;28076;98364;bandwidth-monitored;20974;6352;program;2021-05-05;38567;84853;92013;69584;true;false;92114;72036;75631;71968;74566
9;Implementation Baht Gorgeous;46927;76223;2021-05-05;InProgress;68731;markets;channels Bypass;Assimilated Extension;Utah;574;2021-05-05;99766;75050;Sleek Anguilla UIC-Franc;54111;99694;Future-proofed Shirt Plastic;2021-05-05;59019;76386;23453;51303;true;false;96220;13270;82171;20749;19269
10;capacitor Unbranded ivory;75900;16385;2021-05-05;Rejected;94475;transmitting Organic;FTP;Balanced synthesize array;cross-platform productize;5858;2021-05-04;67540;55005;Markets benchmark SMS;47611;59665;digital Orchestrator;2021-05-05;29018;98137;23343;37125;true;false;66978;59588;32151;44866;75634
